Time[s],Signal A,Signal B,Signal C,Sensor A,Sensor B,Sensor C,Sensor D
0.0,316.07196816906355,316.07196816906355,316.07196816906355,703.9563609090635,414.9645544290636,316.07196816906355,524.1050770890636
0.01,316.07196816906355,316.07196816906355,316.07196816906355,704.638445109562,415.191915146034,316.07196816906355,524.1050770890636
0.02,316.07196816906355,316.07196816906355,316.07196816906355,704.7897763863807,415.7115429099578,316.07196816906355,524.3023806085728
0.03,316.07196816906355,316.07196816906355,316.07196816906355,704.7027406625356,415.6161571675339,316.07196816906355,524.7727936827292
0.04,316.07196816906355,316.07196816906355,316.07196816906355,705.8262731697496,414.9645544290636,316.07196816906355,525.0136796261603
0.05,316.07196816906355,316.07196816906355,316.07196816906355,705.2664181562812,415.41882085462817,316.07196816906355,524.6174739090635
0.06,316.07196816906355,316.07196816906355,316.07196816906355,704.0427633104392,415.98934806906357,316.07196816906355,524.8232381248646
0.07,316.07196816906355,316.07196816906355,316.07196816906355,704.2424586983042,415.61480853910365,316.07196816906355,525.2857254450093
0.08,316.07196816906355,316.07196816906355,316.07196816906355,705.4548346653444,415.2684139416727,316.07196816906355,525.3514659570153
0.09,316.07196816906355,316.07196816906355,316.07196816906355,703.3831651319896,415.6882821439171,316.07196816906355,524.2282470366551
0.1,316.07196816906355,316.07196816906355,316.07196816906355,704.4687577290636,415.19925881725817,316.07196816906355,524.6174739090635
0.11,316.07196816906355,316.07196816906355,316.07196816906355,704.2413068302528,415.0220515010294,316.07196816906355,524.2360969559376
0.12,316.07196816906355,316.07196816906355,316.07196816906355,703.4874829757798,414.92103554234734,316.07196816906355,523.7897665323211
0.13,316.07196816906355,316.07196816906355,316.07196816906355,703.3049036912901,415.4769512490636,316.07196816906355,524.4156797438238
0.14,316.07196816906355,316.07196816906355,316.07196816906355,703.9563609090635,415.6568660700893,316.07196816906355,525.1298707290636
0.15,316.07196816906355,316.07196816906355,316.07196816906355,704.1665829771986,415.3586818646584,316.07196816906355,525.1298707290636
0.16,316.07196816906355,316.07196816906355,316.07196816906355,704.2520015766797,415.319180169011,316.07196816906355,524.926957489169
0.17,316.07196816906355,316.07196816906355,316.07196816906355,705.0819594002558,415.9389466682611,316.07196816906355,524.3051782952099
0.18,316.07196816906355,316.07196816906355,316.07196816906355,706.7263268783015,414.81234592888893,316.07196816906355,523.8840926381213
